ID,latitude,longitude,max_power_kW,price_€/kWh,source
57,53.95974,10.26103,300,0.64,Public
58,49.69866,11.06365,300,0.64,Public
59,51.89656,11.69218,300,0.64,Public
60,52.31148,10.82343,300,0.64,Public
61,50.89218,6.96647,300,0.64,Public
62,50.89345,12.946,300,0.64,Public
63,52.67353,9.68823,300,0.64,Public
64,50.46836,8.13826,300,0.64,Public
65,50.93452,11.3895,300,0.64,Public
66,51.40038,7.69776,300,0.64,Public
67,49.73350617,11.05660901,400,0.64,Public
68,51.76496,7.91239,150,0.64,Public
69,51.3992,12.19135,300,0.64,Public
70,48.45527,8.6996286,300,0.64,Public
71,53.91844,10.1285,300,0.64,Public
72,51.68328,8.72074,300,0.64,Public
73,52.60071,10.1075,300,0.64,Public
74,51.59755,8.51562,300,0.64,Public
75,51.50149,7.25802,300,0.64,Public
76,51.81781,6.44399,300,0.64,Public
77,50.01367,8.79465,300,0.64,Public
78,52.14666,7.73593,300,0.64,Public
79,48.15667,7.74506,300,0.64,Public
80,49.69840429,10.85445591,300,0.64,Public
81,53.53648,10.0648,300,0.64,Public
82,54.18047,9.94394,300,0.64,Public
83,51.17733,12.00934,300,0.64,Public
84,53.27503,10.40135,300,0.64,Public
85,52.3219724,10.47796024,300,0.64,Public
86,48.8506239,9.1054198,300,0.64,Public
87,51.6514,7.66276,300,0.64,Public
88,51.25601,12.72606,300,0.64,Public
89,51.50177,7.21276,300,0.64,Public
90,50.05456,11.62246,300,0.64,Public
91,52.49153,8.07849,300,0.64,Public
92,51.62018,6.20997,300,0.64,Public
93,51.31078,6.29085,300,0.64,Public
94,51.25635,9.4133,300,0.64,Public
95,51.37194,12.47537,300,0.64,Public
96,47.60761,9.58679,300,0.64,Public
97,51.49424,7.33896,300,0.64,Public
98,51.38562,12.38991,300,0.64,Public
99,53.33911,10.21962,300,0.64,Public
100,49.00011,12.14799,300,0.64,Public
101,52.59667,13.60025,300,0.64,Public
102,50.9769969,7.0072874,300,0.64,Public
103,48.51629,9.75942,300,0.64,Public
104,50.72478,12.77884,300,0.64,Public
105,48.27483,7.78526,300,0.64,Public
106,51.68925315,11.76663462,300,0.64,Public
107,47.84594,8.55537,300,0.64,Public
108,52.378145,13.311907,300,0.64,Public
109,51.55337,8.15854,300,0.64,Public
110,52.31446,13.66279,300,0.64,Public
111,51.88867,13.83739,300,0.64,Public
112,53.50231,11.09785,300,0.64,Public
113,53.8037,9.93882,300,0.64,Public
114,53.26267,7.75589,300,0.64,Public
115,51.22584,14.90219,300,0.64,Public
116,53.28856,9.50774,300,0.64,Public
117,53.11137372,8.75285667,300,0.64,Public
118,53.02066,8.68774,300,0.64,Public
119,51.73091498,9.97298577,300,0.64,Public
120,54.51897,9.46454,300,0.64,Public
121,49.21082802,9.07010597,300,0.64,Public
122,53.48987,10.11481,300,0.64,Public
123,51.47754,7.22776,300,0.64,Public
124,49.15742,11.04115,300,0.64,Public
125,52.20934,11.13259,300,0.64,Public
126,50.07203064,12.09714588,300,0.39,Public
127,52.30377477,8.03560384,300,0.39,Public
128,50.28914582,11.01873396,300,0.39,Public
129,49.64372423,8.36260846,300,0.39,Public
130,47.76620603,12.10592102,400,0.45,Public
131,53.51366897,9.9164335,400,0.395,Public
